combine,features,ACC,F1,F1_PA,PREC_PAK,REC_PAK,F1_PAK,PREC_AFF,REC_AFF
any,Voltage (V),0.7626,0.1259,0.1259,0.1142,0.1404,0.1259,0.5159,0.1421
any,Current (A),0.7502,0.1392,0.1399,0.1202,0.1663,0.1395,0.5208,0.1664
any,Power Consumption (kW),0.7454,0.1416,0.1416,0.1201,0.1724,0.1416,0.5091,0.1726
any,Reactive Power (kVAR),0.7540,0.1338,0.1338,0.1171,0.1560,0.1338,0.5193,0.1596
any,Power Factor,0.7426,0.1322,0.1322,0.1121,0.1609,0.1322,0.5139,0.1642
any,Solar Power (kW),0.7446,0.1389,0.1389,0.1178,0.1691,0.1389,0.5191,0.1738
any,Wind Power (kW),0.7426,0.1322,0.1322,0.1121,0.1609,0.1322,0.5205,0.1602
any,Voltage Fluctuation (%),0.7622,0.1403,0.1403,0.1253,0.1593,0.1403,0.5234,0.1568
any,Temperature,0.7472,0.1477,0.1477,0.1253,0.1798,0.1477,0.5166,0.1779
any,Humidity (%),0.7476,0.1490,0.1490,0.1264,0.1814,0.1490,0.5144,0.1809
any,Predicted Load (kW),0.7584,0.1297,0.1297,0.1155,0.1478,0.1297,0.5195,0.1531
any,Humidity (%)|Voltage (V),0.7470,0.1470,0.1470,0.1247,0.1790,0.1470,0.5140,0.1822
any,Humidity (%)|Current (A),0.7498,0.1372,0.1372,0.1183,0.1634,0.1372,0.5196,0.1674
any,Humidity (%)|Power Consumption (kW),0.7468,0.1463,0.1469,0.1244,0.1786,0.1466,0.5214,0.1816
any,Humidity (%)|Reactive Power (kVAR),0.7484,0.1506,0.1506,0.1279,0.1831,0.1506,0.5216,0.1806
any,Humidity (%)|Power Factor,0.7478,0.1497,0.1497,0.1270,0.1823,0.1497,0.5140,0.1825
